Pool Size,Nb Threads,Execution Time (ms)
0,0,1
2,2,1
2,4,1
2,6,1
2,8,2
2,10,1
2,12,1
2,14,1
2,16,2
2,18,2
2,20,1
2,22,3
2,24,2
2,26,3
2,30,4
2,35,4
2,40,5
2,50,5
2,60,5
4,2,1
4,4,1
4,6,0
4,8,0
4,10,0
4,12,1
4,14,1
4,16,1
4,18,1
4,20,2
4,22,1
4,24,1
4,26,2
4,30,2
4,35,3
4,40,5
4,50,3
4,60,5
8,2,1
8,4,0
8,6,0
8,8,0
8,10,0
8,12,1
8,14,1
8,16,1
8,18,1
8,20,1
8,22,2
8,24,2
8,26,2
8,30,3
8,35,2
8,40,2
8,50,3
8,60,4
16,2,1
16,4,1
16,6,1
16,8,0
16,10,0
16,12,0
16,14,1
16,16,1
16,18,1
16,20,1
16,22,2
16,24,1
16,26,1
16,30,2
16,35,4
16,40,3
16,50,3
16,60,4
32,2,0
32,4,0
32,6,0
32,8,0
32,10,1
32,12,0
32,14,1
32,16,0
32,18,1
32,20,1
32,22,2
32,24,1
32,26,1
32,30,2
32,35,2
32,40,2
32,50,3
32,60,5
64,2,0
64,4,1
64,6,0
64,8,0
64,10,0
64,12,0
64,14,1
64,16,1
64,18,1
64,20,1
64,22,1
64,24,1
64,26,1
64,30,2
64,35,3
64,40,2
64,50,4
64,60,2
128,2,0
128,4,0
128,6,0
128,8,0
128,10,0
128,12,0
128,14,0
128,16,0
128,18,1
128,20,1
128,22,2
128,24,1
128,26,1
128,30,1
128,35,2
128,40,2
128,50,4
128,60,3
254,2,1
254,4,0
254,6,0
254,8,0
254,10,0
254,12,1
254,14,1
254,16,0
254,18,1
254,20,1
254,22,1
254,24,2
254,26,1
254,30,1
254,35,2
254,40,2
254,50,3
254,60,4
512,2,1
512,4,0
512,6,0
512,8,0
512,10,0
512,12,0
512,14,1
512,16,1
512,18,1
512,20,1
512,22,2
512,24,1
512,26,1
512,30,2
512,35,1
512,40,1
512,50,4
512,60,2
1024,2,1
1024,4,0
1024,6,1
1024,8,1
1024,10,0
1024,12,1
1024,14,0
1024,16,1
1024,18,1
1024,20,2
1024,22,2
1024,24,1
1024,26,1
1024,30,2
1024,35,2
1024,40,1
1024,50,2
1024,60,4
2048,2,0
2048,4,0
2048,6,0
2048,8,0
2048,10,1
2048,12,1
2048,14,0
2048,16,0
2048,18,1
2048,20,1
2048,22,1
2048,24,1
2048,26,2
2048,30,3
2048,35,3
2048,40,2
2048,50,2
2048,60,2
4096,2,0
4096,4,0
4096,6,0
4096,8,0
4096,10,0
4096,12,0
4096,14,1
4096,16,1
4096,18,1
4096,20,1
4096,22,1
4096,24,2
4096,26,1
4096,30,1
4096,35,2
4096,40,3
4096,50,3
4096,60,3
20000000,2,69
20000000,4,63
20000000,6,69
20000000,8,63
20000000,10,67
20000000,12,70
20000000,14,68
20000000,16,69
20000000,18,65
20000000,20,68
20000000,22,69
20000000,24,67
20000000,26,67
20000000,30,68
20000000,35,65
20000000,40,64
20000000,50,65
20000000,60,66
