Pool Size,Nb Threads,Execution Time (ms)
0,0,7
2,2,6
2,4,4
2,6,3
2,8,3
2,10,2
2,12,2
2,14,3
2,16,2
2,18,2
2,20,2
2,22,5
2,24,3
2,26,4
2,30,3
2,35,4
2,40,5
2,50,6
2,60,6
4,2,7
4,4,7
4,6,3
4,8,3
4,10,3
4,12,2
4,14,2
4,16,3
4,18,3
4,20,3
4,22,3
4,24,3
4,26,3
4,30,4
4,35,4
4,40,4
4,50,5
4,60,7
8,2,8
8,4,5
8,6,3
8,8,3
8,10,3
8,12,2
8,14,3
8,16,2
8,18,3
8,20,2
8,22,2
8,24,3
8,26,3
8,30,3
8,35,4
8,40,5
8,50,4
8,60,6
16,2,5
16,4,5
16,6,3
16,8,2
16,10,3
16,12,2
16,14,2
16,16,2
16,18,2
16,20,2
16,22,2
16,24,2
16,26,3
16,30,4
16,35,3
16,40,4
16,50,4
16,60,6
32,2,6
32,4,5
32,6,3
32,8,2
32,10,2
32,12,3
32,14,2
32,16,2
32,18,2
32,20,2
32,22,2
32,24,3
32,26,3
32,30,3
32,35,3
32,40,4
32,50,5
32,60,5
64,2,7
64,4,5
64,6,3
64,8,4
64,10,2
64,12,2
64,14,3
64,16,2
64,18,2
64,20,2
64,22,2
64,24,3
64,26,3
64,30,2
64,35,5
64,40,4
64,50,5
64,60,5
128,2,6
128,4,5
128,6,3
128,8,3
128,10,3
128,12,2
128,14,2
128,16,3
128,18,2
128,20,2
128,22,2
128,24,3
128,26,3
128,30,2
128,35,3
128,40,2
128,50,3
128,60,4
254,2,5
254,4,5
254,6,3
254,8,2
254,10,2
254,12,3
254,14,2
254,16,2
254,18,2
254,20,2
254,22,2
254,24,2
254,26,3
254,30,3
254,35,3
254,40,3
254,50,3
254,60,5
512,2,5
512,4,4
512,6,3
512,8,3
512,10,2
512,12,2
512,14,3
512,16,2
512,18,2
512,20,2
512,22,2
512,24,3
512,26,2
512,30,3
512,35,3
512,40,3
512,50,4
512,60,5
1024,2,8
1024,4,3
1024,6,3
1024,8,2
1024,10,3
1024,12,2
1024,14,2
1024,16,2
1024,18,2
1024,20,3
1024,22,2
1024,24,2
1024,26,2
1024,30,2
1024,35,3
1024,40,3
1024,50,4
1024,60,4
2048,2,5
2048,4,3
2048,6,3
2048,8,3
2048,10,3
2048,12,2
2048,14,2
2048,16,2
2048,18,2
2048,20,2
2048,22,2
2048,24,3
2048,26,2
2048,30,2
2048,35,3
2048,40,3
2048,50,5
2048,60,3
4096,2,6
4096,4,5
4096,6,3
4096,8,2
4096,10,2
4096,12,2
4096,14,2
4096,16,2
4096,18,2
4096,20,2
4096,22,2
4096,24,3
4096,26,2
4096,30,3
4096,35,3
4096,40,3
4096,50,4
4096,60,5
20000000,2,86
20000000,4,69
20000000,6,65
20000000,8,64
20000000,10,62
20000000,12,65
20000000,14,69
20000000,16,65
20000000,18,67
20000000,20,68
20000000,22,68
20000000,24,64
20000000,26,67
20000000,30,68
20000000,35,70
20000000,40,76
20000000,50,75
20000000,60,68
