Pool Size,Nb Threads,Execution Time (ms)
1200,16,1291
1600,14,1327
8000,60,1190
4000,18,1292
2000,60,1217
1000,20,1243
1600,4,1851
4000,12,1242
1600,16,1182
2500,35,1172
10000,16,1173
1600,8,1415
10000,10,1254
6000,2,2784
1600,24,1167
1200,18,1177
5000,35,1164
1200,35,1173
1000,6,1496
1200,22,1172
400,14,1194
50,8,1417
8000,10,1271
6000,6,1440
1000,14,1194
800,60,1164
6000,12,1233
2500,10,1298
800,8,1412
100,2,2869
8000,24,1162
2500,30,1164
400,2,2928
800,30,1170
1000,30,1188
2500,20,1171
100,8,1425
10000,30,1165
4000,10,1303
4000,6,1471
100,40,1169
200,24,1175
2000,24,1177
400,16,1182
1000,35,1170
1600,35,1168
6000,35,1165
6000,8,1366
3000,30,1164
4000,14,1192
400,60,1171
200,8,1401
10,30,1193
10000,6,1410
800,22,1168
2500,22,1167
8000,12,1229
100,24,1168
8000,16,1188
200,18,1176
5000,26,1168
6000,20,1165
100,6,1473
50,18,1175
200,14,1193
1600,2,2925
1200,50,1162
10,26,1190
6000,26,1166
10000,14,1192
6000,18,1172
6000,16,1184
10000,2,2696
1200,40,1164
100,16,1187
10,12,1245
1000,60,1166
2500,16,1183
8000,2,2720
1000,2,2901
10,10,1470
400,30,1239
1200,10,1346
2500,24,1198
400,26,1178
3000,40,1180
800,2,3152
2500,26,1202
400,8,1727
800,35,1306
6000,30,1383
4000,26,1528
10,4,2367
10000,4,1981
4000,60,1202
10,14,1252
2500,4,2029
50,30,1240
3000,22,1229
2500,6,1569
200,2,3416
400,6,1511
5000,30,1165
1600,6,1479
8000,26,1164
1000,50,1174
8000,6,1413
100,35,1173
10000,22,1162
6000,10,1308
1000,40,1164
5000,12,1249
100,26,1169
50,14,1191
2500,8,1398
2000,30,1168
50,24,1188
5000,50,1166
5000,4,1890
10,50,1220
200,10,1313
100,50,1167
1000,8,1399
1200,60,1188
2500,14,1201
100,12,1255
10,24,1190
1000,26,1175
8000,20,1165
50,50,1182
50,2,2921
2000,6,1474
10000,50,1165
800,16,1187
200,4,1876
3000,2,2814
5000,40,1167
2500,50,1330
800,14,1419
6000,4,2112
2500,60,1255
400,12,1243
1000,12,1239
200,26,1167
200,60,1168
800,18,1173
50,6,1475
1000,4,1870
400,22,1166
4000,50,1168
2000,22,1165
1000,24,1164
100,20,1174
800,6,1481
3000,35,1166
800,20,1173
10000,20,1159
400,24,1167
1600,10,1318
10,20,1173
6000,14,1253
100,10,1671
2000,14,1394
3000,8,1800
5000,10,1666
10000,8,1686
200,16,1259
2000,20,1404
100,14,1491
400,10,1489
1000,18,1238
5000,20,1238
1600,50,1236
3000,50,1270
10000,40,1441
1200,8,1907
3000,26,1239
50,16,1453
2000,40,1321
3000,18,1300
800,40,1196
2500,18,1254
200,35,1416
100,18,1458
200,20,1419
3000,12,1580
2000,10,1674
1200,30,1319
200,40,1412
8000,18,1435
3000,4,2568
1600,18,1238
10,22,1266
1200,26,1261
10,8,1588
1000,16,1273
4000,24,1222
3000,6,1599
2000,16,1240
1600,60,1205
5000,8,1476
5000,14,1247
10000,35,1235
1200,6,1801
100,22,1312
4000,35,1282
10,18,1319
1000,10,1440
50,60,1217
1600,22,1248
5000,16,1478
400,50,1463
5000,2,3569
400,35,1240
50,35,1295
1200,4,2085
6000,24,1210
8000,50,1189
3000,20,1230
2000,8,1576
800,50,1206
50,12,1399
3000,14,1340
8000,30,1217
4000,4,2099
50,26,1231
3000,16,1209
1200,24,1170
1600,20,1178
10,6,1599
2000,50,1168
5000,18,1196
6000,40,1179
4000,16,1261
6000,60,1184
4000,30,1182
50,4,1978
3000,10,1436
100,4,2480
2000,26,1511
5000,6,2252
5000,60,1326
10,16,1564
2000,18,1305
1000,22,1247
4000,22,1264
10,40,1294
800,4,2117
2500,2,3103
400,4,1892
10000,26,1169
200,30,1385
8000,40,1312
2000,35,1226
200,50,1240
800,24,1228
1600,26,1222
8000,8,1552
100,60,1245
10000,60,1215
1200,14,1256
4000,20,1225
2000,4,2020
200,6,1765
4000,2,3619
8000,14,1400
2500,40,1190
8000,35,1182
400,40,1174
10000,12,1241
200,12,1258
1200,20,1183
50,40,1200
50,20,1180
800,10,1397
1600,40,1263
1600,30,1272
1200,12,1379
6000,22,1300
800,12,1371
200,22,1180
50,10,1359
400,18,1207
5000,24,1243
3000,24,1204
3000,60,1222
10,35,1369
400,20,1303
10000,18,1303
10,60,1390
2000,12,1388
5000,22,1274
10,2,3564
8000,4,2138
4000,40,1265
6000,50,1215
4000,8,1648
10000,24,1247
800,26,1317
2000,2,3287
1200,2,3125
2500,12,1271
50,22,1267
100,30,1305
8000,22,1286
1600,12,1365
