Pool Size,Nb Threads,Execution Time (ms)
0,0,113
2,2,71
2,4,53
2,6,35
2,8,25
2,10,25
2,12,27
2,14,25
2,16,23
2,18,26
2,20,30
2,22,32
2,24,32
2,26,28
2,30,30
2,35,36
2,40,31
2,50,51
2,60,34
4,2,79
4,4,47
4,6,30
4,8,26
4,10,21
4,12,19
4,14,18
4,16,18
4,18,17
4,20,20
4,22,17
4,24,18
4,26,18
4,30,20
4,35,21
4,40,20
4,50,21
4,60,22
8,2,58
8,4,45
8,6,30
8,8,24
8,10,20
8,12,18
8,14,18
8,16,16
8,18,18
8,20,16
8,22,17
8,24,17
8,26,18
8,30,18
8,35,19
8,40,22
8,50,23
8,60,21
16,2,54
16,4,34
16,6,29
16,8,21
16,10,23
16,12,18
16,14,18
16,16,20
16,18,17
16,20,16
16,22,16
16,24,17
16,26,17
16,30,16
16,35,19
16,40,17
16,50,21
16,60,20
32,2,45
32,4,28
32,6,25
32,8,20
32,10,21
32,12,17
32,14,16
32,16,18
32,18,16
32,20,17
32,22,17
32,24,16
32,26,17
32,30,16
32,35,19
32,40,21
32,50,17
32,60,18
64,2,43
64,4,28
64,6,22
64,8,21
64,10,22
64,12,17
64,14,16
64,16,15
64,18,16
64,20,15
64,22,16
64,24,16
64,26,17
64,30,17
64,35,18
64,40,17
64,50,17
64,60,17
128,2,41
128,4,33
128,6,23
128,8,24
128,10,20
128,12,17
128,14,17
128,16,16
128,18,18
128,20,16
128,22,14
128,24,18
128,26,16
128,30,17
128,35,15
128,40,16
128,50,19
128,60,18
254,2,43
254,4,31
254,6,20
254,8,20
254,10,20
254,12,20
254,14,17
254,16,19
254,18,17
254,20,20
254,22,18
254,24,15
254,26,16
254,30,17
254,35,16
254,40,18
254,50,18
254,60,16
512,2,39
512,4,26
512,6,24
512,8,18
512,10,19
512,12,19
512,14,19
512,16,15
512,18,16
512,20,16
512,22,16
512,24,15
512,26,16
512,30,17
512,35,15
512,40,18
512,50,19
512,60,17
1024,2,45
1024,4,30
1024,6,24
1024,8,18
1024,10,19
1024,12,17
1024,14,16
1024,16,18
1024,18,18
1024,20,17
1024,22,16
1024,24,17
1024,26,15
1024,30,17
1024,35,16
1024,40,17
1024,50,16
1024,60,17
2048,2,43
2048,4,30
2048,6,22
2048,8,23
2048,10,21
2048,12,20
2048,14,19
2048,16,18
2048,18,19
2048,20,16
2048,22,16
2048,24,17
2048,26,15
2048,30,16
2048,35,16
2048,40,17
2048,50,17
2048,60,16
4096,2,50
4096,4,27
4096,6,21
4096,8,22
4096,10,20
4096,12,20
4096,14,15
4096,16,16
4096,18,16
4096,20,15
4096,22,15
4096,24,17
4096,26,20
4096,30,17
4096,35,17
4096,40,17
4096,50,18
4096,60,20
20000000,2,105
20000000,4,89
20000000,6,83
20000000,8,83
20000000,10,88
20000000,12,82
20000000,14,78
20000000,16,76
20000000,18,73
20000000,20,77
20000000,22,87
20000000,24,80
20000000,26,80
20000000,30,81
20000000,35,79
20000000,40,82
20000000,50,86
20000000,60,81
